                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.84853,                 1.3505,                0.75438,                 1.1983,                0.99906,                  0.975,                0.99318,                0.78918,                0.99906,                  0.975,                0.99318,                0.77525,                0.76239,                 1.2319,                0.53046,                 1.2191,              0.0013466,              0.0013466,              0.0013466
                     36,                0.78891,                 1.3245,                0.70426,                 1.2021,                0.94793,                  0.975,                0.99074,                0.78812,                0.94793,                  0.975,                0.99074,                0.76527,                0.84197,                 1.2277,                 0.5783,                 1.2764,              0.0013268,              0.0013268,              0.0013268
                     37,                0.80848,                 1.2509,                0.64674,                 1.1695,                0.92858,                      1,                0.99163,                0.79836,                0.92858,                      1,                0.99163,                0.78021,                0.79589,                  1.204,                0.54599,                 1.2651,               0.001307,               0.001307,               0.001307
                     38,                0.75543,                 1.2645,                0.64686,                 1.1514,                0.94589,                   0.95,                0.98092,                0.75478,                0.94589,                   0.95,                0.98092,                0.74156,                0.83795,                 1.3424,                0.60894,                 1.3466,              0.0012872,              0.0012872,              0.0012872
                     39,                0.81232,                 1.2944,                0.66035,                 1.1796,                 0.9522,                0.99603,                 0.9928,                0.76668,                 0.9522,                0.99603,                 0.9928,                0.77718,                0.82062,                 1.3084,                0.60926,                  1.286,              0.0012674,              0.0012674,              0.0012674
                     40,                 0.8027,                 1.2994,                0.66261,                 1.1933,                0.97495,                0.97297,                0.97709,                0.71249,                0.96883,                   0.95,                0.95126,                 0.7034,                0.95214,                 1.4369,                0.65609,                 1.4196,              0.0012476,              0.0012476,              0.0012476
                     41,                0.78744,                 1.3046,                0.64422,                 1.1391,                0.99604,                  0.975,                0.99167,                0.79323,                0.99604,                  0.975,                0.99167,                0.75147,                0.73338,                 1.4024,                0.54134,                 1.2017,              0.0012278,              0.0012278,              0.0012278
                     42,                0.72387,                 1.2275,                0.57684,                  1.132,                      1,                0.99903,                  0.995,                0.80016,                      1,                0.99903,                  0.995,                0.77607,                0.74814,                 1.2677,                0.51661,                 1.1823,               0.001208,               0.001208,               0.001208
                     43,                0.75955,                 1.2028,                0.62302,                  1.164,                      1,                0.99693,                  0.995,                0.81204,                      1,                0.99693,                  0.995,                0.78069,                0.76403,                 1.2437,                0.55391,                 1.1956,              0.0011882,              0.0011882,              0.0011882
                     44,                0.78701,                 1.3592,                 0.6828,                    1.2,                0.99926,                  0.975,                 0.9936,                 0.8011,                0.99926,                  0.975,                 0.9936,                0.79261,                0.74862,                 1.2448,                0.55244,                 1.1765,              0.0011684,              0.0011684,              0.0011684
                     45,                  0.755,                 1.2449,                0.61524,                 1.1542,                0.97179,                  0.975,                0.99127,                0.79208,                0.97179,                  0.975,                0.99127,                0.78252,                0.80087,                 1.2397,                0.58388,                 1.2059,              0.0011486,              0.0011486,              0.0011486
                     46,                0.73606,                 1.1684,                0.60514,                 1.1269,                0.99669,                   0.95,                0.99262,                0.81852,                0.99669,                   0.95,                0.99262,                0.79416,                0.73198,                  1.248,                 0.4952,                 1.1723,              0.0011288,              0.0011288,              0.0011288
