                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.70874,                 1.0529,                 1.3895,                  1.103,                 0.5195,                0.85782,                 0.7281,                0.56323,                0.53255,                0.83302,                0.70934,                0.55257,                0.87766,                 1.3183,                 1.3821,                 1.2109,             0.00045639,             0.00045639,             0.00045639
                     58,                0.70802,                 1.1919,                 1.3117,                  1.099,                0.58946,                0.76302,                0.74626,                0.57579,                0.60026,                 0.7491,                0.72118,                0.57207,                0.85695,                 1.2998,                 1.3949,                  1.199,              0.0004387,              0.0004387,              0.0004387
                     59,                0.73262,                 1.2917,                 1.2692,                 1.1035,                0.53102,                0.84409,                0.72343,                0.60229,                0.57389,                0.70956,                 0.7094,                0.55856,                0.77205,                 1.3283,                 1.3758,                 1.1563,             0.00042102,             0.00042102,             0.00042102
                     60,                0.70644,                 1.0941,                 1.3917,                 1.1318,                0.48287,                0.88211,                0.69303,                0.56899,                0.59367,                0.61809,                0.66477,                0.52713,                0.75022,                 1.3544,                 1.3618,                 1.1456,             0.00040334,             0.00040334,             0.00040334
                     61,                0.62611,                 1.1146,                 1.2443,                 1.0463,                0.69509,                0.63909,                0.69086,                0.57843,                0.69509,                0.63909,                0.68379,                0.53319,                0.72119,                 1.3706,                 1.2925,                 1.1211,             0.00038565,             0.00038565,             0.00038565
                     62,                0.69441,                  1.388,                 1.3007,                 1.0942,                0.60586,                0.73559,                0.72112,                0.58796,                0.59107,                0.72236,                0.69639,                0.57567,                0.69776,                 1.3549,                 1.2744,                 1.1041,             0.00036797,             0.00036797,             0.00036797
                     63,                0.71632,                 1.1245,                 1.2829,                 1.1057,                 0.4927,                0.85237,                0.71052,                0.58305,                0.49175,                0.84138,                0.68588,                0.55092,                0.70005,                  1.441,                 1.3293,                 1.1048,             0.00035028,             0.00035028,             0.00035028
                     64,                0.69742,                  1.147,                 1.3021,                 1.1175,                0.56537,                0.71195,                0.68795,                 0.5616,                0.54153,                0.67491,                0.66626,                0.53306,                0.71081,                 1.3655,                 1.3935,                 1.1274,              0.0003326,              0.0003326,              0.0003326
                     65,                0.69969,                 1.1083,                 1.2502,                 1.0834,                0.50762,                0.79798,                0.66389,                0.54824,                0.48684,                0.76094,                0.63929,                0.51097,                0.76804,                 1.3947,                 1.4448,                 1.1732,             0.00031492,             0.00031492,             0.00031492
                     66,                0.75709,                 1.2402,                 1.2686,                 1.1419,                0.62162,                 0.6518,                0.67462,                0.53837,                0.62162,                 0.6518,                0.65177,                0.51673,                0.81034,                 1.5612,                 1.4322,                 1.2243,             0.00029723,             0.00029723,             0.00029723
                     67,                0.71613,                 1.1664,                 1.2641,                 1.0904,                0.50746,                0.83502,                0.68192,                0.53485,                0.57707,                0.64237,                0.67279,                0.51727,                0.80867,                 1.5181,                  1.441,                 1.2211,             0.00027955,             0.00027955,             0.00027955
                     68,                0.72346,                 1.1869,                 1.3158,                  1.125,                0.50959,                0.82703,                0.69703,                0.56105,                0.50325,                0.79798,                0.68011,                0.54069,                0.76223,                 1.3736,                 1.4445,                 1.1912,             0.00026186,             0.00026186,             0.00026186
                     69,                0.72104,                 1.1274,                 1.2872,                 1.1156,                 0.5911,                0.84208,                0.73232,                 0.5887,                0.58782,                0.82022,                0.71686,                0.57369,                0.74552,                 1.3265,                 1.3988,                 1.1682,             0.00024418,             0.00024418,             0.00024418
                     70,                0.71942,                 1.1703,                 1.3473,                 1.1406,                0.54512,                 0.9331,                0.72684,                0.59427,                 0.5487,                0.85859,                0.71551,                0.57014,                0.74066,                 1.3838,                 1.3645,                 1.1569,              0.0002265,              0.0002265,              0.0002265
                     71,                0.57737,                 0.9637,                 1.4847,                 1.0759,                0.66326,                0.80813,                0.77031,                0.59735,                0.66408,                 0.8073,                0.76046,                 0.5814,                0.69428,                 1.3221,                 1.3968,                 1.0907,             0.00020881,             0.00020881,             0.00020881
                     72,                0.54022,                0.92674,                 1.4403,                 1.0426,                0.59126,                0.89812,                0.75809,                0.60103,                0.58584,                0.86532,                0.75406,                0.57947,                0.67487,                 1.2853,                 1.4119,                 1.0728,             0.00019113,             0.00019113,             0.00019113
                     73,                0.53701,                0.91776,                 1.4428,                 1.0875,                0.55543,                0.85089,                0.74885,                0.59681,                0.71578,                0.67284,                0.74231,                0.58908,                0.70776,                 1.2891,                 1.4209,                  1.102,             0.00017344,             0.00017344,             0.00017344
                     74,                0.53997,                0.93722,                 1.3772,                  1.079,                0.47536,                0.94037,                0.73473,                0.59435,                0.67939,                0.63404,                0.72651,                0.57301,                0.71026,                 1.2812,                 1.4214,                 1.1104,             0.00015576,             0.00015576,             0.00015576
                     75,                0.56262,                0.94837,                  1.427,                 1.0552,                0.54421,                0.95431,                0.69964,                0.60067,                0.52876,                0.91727,                0.69309,                 0.5768,                 0.6994,                 1.2603,                 1.4056,                 1.0923,             0.00013808,             0.00013808,             0.00013808
                     76,                0.52297,                0.99288,                  1.403,                 1.0344,                0.62508,                0.95004,                0.73522,                0.61425,                0.60955,                  0.913,                0.72588,                0.59178,                0.70024,                  1.296,                 1.3949,                 1.0993,             0.00012039,             0.00012039,             0.00012039
                     77,                0.53895,                 1.0395,                 1.3643,                 1.0557,                0.57206,                0.91237,                0.74378,                0.60627,                0.55638,                0.87533,                0.73719,                0.59164,                0.69871,                 1.2979,                  1.374,                  1.106,             0.00010271,             0.00010271,             0.00010271
                     78,                0.56631,                0.89346,                 1.3735,                 1.0549,                0.54175,                0.95012,                0.70792,                0.61976,                0.52622,                0.91308,                0.70022,                0.57961,                0.69338,                 1.2807,                 1.3794,                 1.0997,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     79,                0.53633,                0.90813,                 1.3715,                 1.0497,                0.57583,                0.95428,                0.73383,                0.63587,                0.57583,                0.95428,                0.73383,                 0.6049,                0.68774,                 1.2542,                 1.3328,                  1.099,             6.7342e-05,             6.7342e-05,             6.7342e-05
                     80,                0.54155,                0.93364,                 1.3345,                 1.0576,                0.55395,                0.95949,                0.70463,                0.59661,                0.55395,                0.95949,                0.70463,                0.56646,                0.69403,                 1.2731,                 1.3034,                 1.1101,             4.9658e-05,             4.9658e-05,             4.9658e-05
